algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.845537e-02,0.00,,1.420195182703014e-07,2.9404122183052823e-07,2.424824665937834e-05,0.00041539426713026103,0.024899605143249653,1e-08,5.372434089856749e-07,1.75336036867877e-05,0.001997054987055005,0.0005873080406761914,3.413339138102844,1.7453649705993193,1.381109053202244,1.3433360499651166,3.9045846040144316,1.0845124570530698,591.3092711022641,3.1201033858607303,5.4039792857519915,31.51106656756194,23.4255994692105,4.50559711779437,2.319559894862537,19.065948675953727,
variant_01_idea_0.py,variant,2.917643e-01,203.53,,1.2283188992666538e-06,2.6271481607308937e-06,0.00016951976117401125,0.0013636674007308123,0.04501594389048982,1e-08,3.0653434654547214e-07,0.0001065042590546882,0.005653614569579411,0.00043162230349771036,275.44132950221467,1088.105056146464,225.75296185605364,43.00137673040862,11.040278187089047,4.07715448519042,4366.093242891822,306347.3328301741,94.40999046359914,370.5515997050101,65.3109024580249,6.070427702996569,21.024787215758376,105.96018967730284,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.214493e-02,203.07,,6.285456750082469e-07,8.564850795483609e-07,2.4490136011719588e-05,0.000282209375371414,0.026438015056787577,1e-08,3.373706857242951e-07,1.359036178819305e-05,0.001852148778096566,0.0007582243489077732,12.262411289366977,27.762023621489405,12.85324796966069,2.3120099906781824,3.502335917658899,2.638237116838388,591.7526102617196,60.68161395454626,27.987634084579526,43.85963948887517,26.169474950415484,4.407694530984186,2.5087964409092294,21.62860123627001,prompts/variant_prompt.md
variant_03_idea_0.py,variant,3.559978e-01,209.52,,2.9380785282014987e-07,4.971699695525546e-07,0.00010080621591398912,0.9612645017078473,0.1012023788189721,3.999999993324374e-08,16.149926057181677,2.309066447500238,1.1233763413181965,7.8532029429109995,5.125000174005709,2.514489993885267,2.7686422703925193,1.5049693603349246,3.7396493248738976,1.1534395319436117,551.0813141186117,3.1201041874580464,14.396081122900403,30.659265623808704,23.122572429238623,4.406726805113107,2.5389153316413036,20.02860693694203,prompts/variant_prompt.md
variant_04_idea_0.py,variant,2.950484e-02,235.61,,1.0231175531740845e-07,2.8477110212269595e-07,2.5092523602331617e-05,0.0004074310119084512,0.024916642000065676,1e-08,5.249114785912376e-07,1.7460862601625046e-05,0.001978332587794758,0.0005811117761571437,5.244826520752021,2.84883071394411,1.4410154033273483,1.1508039159474683,3.399344588556154,1.0676917188687354,586.2258707706571,3.120103402447601,10.47351473980638,25.109317480368336,23.437691323635214,4.497626076772539,2.4954130866494264,21.28672323767852,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.006548e-02,211.70,,1.2827158868311935e-07,2.9461418074956194e-07,2.4456592299273864e-05,0.000412101217978183,0.0247744470576701,1e-08,5.337506556671523e-07,1.755136143522276e-05,0.0019818383982213566,0.0005859224176458754,5.127141760766312,2.109828673155744,1.724959600803482,1.923199434656207,3.5695947518390962,1.153591185906236,409.0765929907316,3.1201033899210873,12.265360745764847,31.758847032028065,21.277969168769555,4.536743846498933,2.24500624549371,18.208841285233433,prompts/variant_prompt.md
variant_06_idea_0.py,variant,2.877930e-02,210.12,,1.2187526058880872e-07,2.7596769002932146e-07,2.438751445596685e-05,0.00040566351278378414,0.024801416899253515,1e-08,5.305033541639273e-07,1.760933981922337e-05,0.0019827595923687714,0.0005755518030683537,4.642864798914887,3.0768858747404124,1.6819357855541266,1.3825840822599977,3.602527125256695,1.1683941170129901,350.9724543192552,3.120103371664097,6.761281898932962,40.128314707088734,24.506884634678233,4.499349097198145,2.2368010056787733,11.560459897815623,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.839887e-02,222.56,,1.0440097282409532e-07,3.056130994554949e-07,2.663438366678475e-05,0.000434060417084968,0.025300438345744414,1e-08,5.240045127655569e-07,1.8605041945262455e-05,0.0020633233227347917,0.0005787531928135954,3.6560783893285125,2.221706179765549,0.9460474682870655,1.1035853954474335,3.3395676214729746,1.1047370327532482,493.09845814186264,3.1201033793350135,10.124867622821172,27.597045127354022,23.695994474722138,4.5301180128522445,2.3956054658777926,20.150148422304536,prompts/variant_prompt.md
variant_08_idea_0.py,variant,5.029914e-02,201.43,,0.00018511302468054958,0.0003741035295755504,0.013948027409415757,0.05155877768252784,0.17785563890583223,1.7617068538858952e-08,0.002649398355567019,0.007819691549330758,0.07745183473199699,0.08153616409012293,0.0007649690997154398,0.003501452988344284,0.2521045163716705,0.07678427598846206,2.6103270166511257,1.3733167227810332,0.0007755214319963369,3.127258902821168,2.7771621658755183,6.139135115538006,2.463660643155429,4.18042210896366,2.3156992376852057,18.379287120727515,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.815178e-02,201.58,,1.401114064604485e-07,2.9490000994962595e-07,2.4602995884209953e-05,0.0004127510800663391,0.02476232623249309,1e-08,5.369735322822944e-07,1.7467492153610038e-05,0.002000585264229153,0.0005788780263333203,4.9624485663738245,1.6583555861452954,1.3031940986304815,1.0852367518511883,3.4040611364377362,1.1345519379783615,556.6570585928168,3.120103383457426,3.804306958301404,39.061776159022244,22.908085979713835,4.496940288345695,2.3522188344325183,19.350783915600474,prompts/variant_prompt.md
variant_10_idea_0.py,variant,2.990587e-02,205.07,,1.4035968488886895e-07,2.849057116299413e-07,2.438376275098948e-05,0.0004082429343171956,0.024685958671185778,1e-08,5.436930866981215e-07,1.645778297996991e-05,0.001965814789504003,0.0005784689121297795,3.479127175380424,3.353835276584788,1.9866583285952506,1.3308313412502266,3.7131130936455388,1.1329775134359288,561.9439513751447,3.1201033919229744,8.449304456200831,28.277108068860976,22.64144792090993,4.48423910601479,2.3368887502518425,20.306203393598718,prompts/variant_prompt.md
